Loja Concorrente;Rede;Bairro;Municipios;Estado;UF;Localizacao;Territorio
Gsb Distribuidora;W Brasil;Gramado;Gramado;Rio Grande do Sul;RS;Gramado, Gramado - RS, Brasil;5000 - Territorio Livre
Rr Laminas;S/Rede;Vera Cruz;Gravatai;Rio Grande do Sul;RS;Vera Cruz, Gravatai - RS, Brasil;5000 - Territorio Livre
Casa Do Marceneiro;Rede Sim;Osvaldo Aranha;Ijui;Rio Grande do Sul;RS;Osvaldo Aranha, Ijui - RS, Brasil;5000 - Territorio Livre
Compasso Solucoes Moveleiras;S/Rede;Distrito Industrial Ii;Lagoa Vermelha;Rio Grande do Sul;RS;Distrito Industrial Ii, Lagoa Vermelha - RS, Brasil;5000 - Territorio Livre
Doripel;S/Rede;Distrito Industrial Ii;Lagoa Vermelha;Rio Grande do Sul;RS;Distrito Industrial Ii, Lagoa Vermelha - RS, Brasil;5000 - Territorio Livre
Fabi Com. De Compensados;S/Rede;Floresta;Lajeado;Rio Grande do Sul;RS;Floresta, Lajeado - RS, Brasil;5000 - Territorio Livre
Compensados Lageado;S/Rede;Sao Cristovao;Lajeado;Rio Grande do Sul;RS;Sao Cristovao, Lajeado - RS, Brasil;5000 - Territorio Livre
Placa Sul;Gmad;Centro;Novo Hamburgo;Rio Grande do Sul;RS;Centro, Novo Hamburgo - RS, Brasil;5000 - Territorio Livre
Hb Compensados;Rede Sim;Ideal;Novo Hamburgo;Rio Grande do Sul;RS;Ideal, Novo Hamburgo - RS, Brasil;5000 - Territorio Livre
Borgonovo  Filial;Rede Sim;Ideal;Novo Hamburgo;Rio Grande do Sul;RS;Ideal, Novo Hamburgo - RS, Brasil;5000 - Territorio Livre
Madecom;Rede Pro;Centro 1;Osorio;Rio Grande do Sul;RS;Centro 1, Osorio - RS, Brasil;5000 - Territorio Livre
Madeireira Fernando Osorio;S/Rede;Tres Vendas;Pelotas;Rio Grande do Sul;RS;Tres Vendas, Pelotas - RS, Brasil;5000 - Territorio Livre
Zibett;S/Rede;Tres Vendas;Pelotas;Rio Grande do Sul;RS;Tres Vendas, Pelotas - RS, Brasil;5000 - Territorio Livre
Zibetti, Ribes & Cia Ltda;S/Rede;Tres Vendas;Pelotas;Rio Grande do Sul;RS;Tres Vendas, Pelotas - RS, Brasil;5000 - Territorio Livre
Madelei;Rede Sim;Navegantes;Porto Alegre;Rio Grande do Sul;RS;Navegantes, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Turmina & Wagner Ltda;S/Rede;Sao Geraldo;Porto Alegre;Rio Grande do Sul;RS;Sao Geraldo, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Hb Center Compensados Filial;Rede Sim;Sao Geraldo;Porto Alegre;Rio Grande do Sul;RS;Sao Geraldo, Porto Alegre - RS, Brasil;5000 - Territorio Livre
Superplac;S/Rede;Floresta;Porto Alegre;Rio Grande do Sul;RS;Floresta, Porto Alegre - RS, Brasil;5000 - Territorio Livre
